1 on 1 Phlebotomy,totalScore,reviewsCount,street,city,regions serviced,state,countryCode,website,phone,categoryName,url
Fleur De Lis Labs,5,5,980 N Federal Hwy Suites 110,Boca Raton,,Florida,US,https://www.minustouchmobilephlebotomyservices.health/,(877) 637-4506,Health spa,https://www.google.com/maps/search/?api=1&query=Minustouchmobilephlebotomyservices.health&query_place_id=ChIJGZ6Am27h2IgRHi1p4Dj78JE
Fortis Institute in Nashville,5,15,8890 Terrene Ct,Bonita Springs,,Florida,US,http://www.bloomdirectprimarycare.com/,(239) 799-4181,Medical office,https://www.google.com/maps/search/?api=1&query=Bloom%20Direct%20Primary%20Care&query_place_id=ChIJ7waV-JMZ24gRxaH_fX27-pU
From the Heart Mobile Phlebotomy LLC,2.4,100,11135 Jog Rd STE 4,Boynton Beach,,Florida,US,https://locations.labcorp.com/fl/boynton-beach/27210/,(561) 710-5012,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp&query_place_id=ChIJgSezrDkh2YgRaR6DvkE98MU
Full Service Mobile Lab Co.,,0,Federal Hwy,Boynton Beach,,Florida,US,,(561) 710-0624,Laboratory,https://www.google.com/maps/search/?api=1&query=VENI%20SOLUTIONS%20MOBILE%20PHLEBOTOMY&query_place_id=ChIJ7dMFRPTf2IgR-kDK0SCMLvY
Gateway Mobile Phlebotomy,5,22,,"Broward, Miami Dade, Naples, Key Largo, West Palm Beach",,Florida,US,http://www.krlmobilelab.com/,(888) 553-9994,Laboratory,https://www.google.com/maps/search/?api=1&query=KRL%20Mobile%20Lab&query_place_id=ChIJO4ZE35HECY4Rx96rYyCdZ04
Geisinger Medical Office Building Wyoming Valley Lab,5,70,,"Broward, Palm Beach and Miami-Dade counties",,Florida,US,https://onestickusa.wixsite.com/one-stick-usa,(954) 670-3184,Blood testing service,https://www.google.com/maps/search/?api=1&query=OneStick%20USA%20Concierge%20Mobile%20Lab&query_place_id=ChIJN-taNFPuHAwRmjFM85g5LZA
"Genesis Testing Solutions, LLC",4.3,64,360 Santa Barbara Blvd N,Cape Coral,,Florida,US,http://www.capecoraltech.edu/,(239) 574-4440,College,https://www.google.com/maps/search/?api=1&query=Cape%20Coral%20Technical%20College&query_place_id=ChIJG9r-TJ9G24gRQ-nYsOLmz-g
Gentle Hands Mobile Phlebotomy,,0,,Cape Coral,,Florida,US,https://www.facebook.com/profile.php?id=61563895887877#,(239) 238-2107,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Busy%20Beez%20Phlebotomy%20LLC&query_place_id=ChIJQ2yXuWAd24gRMn53-MDsC3Q
Gentle Hands Mobile Phlebotomy and More LLC,4.8,149,814 SW Pine Island Rd Suite 306,Cape Coral,,Florida,US,https://www.labexpressservices.com/,(239) 488-2457,Drug testing service,https://www.google.com/maps/search/?api=1&query=Lab%20Express&query_place_id=ChIJWdDbyClH24gRZ03W_eUZb6g
"Gentle Sticks Mobile Phlebotomy Services, LLC",5,6,1550 Madruga Ave,Coral Gables,,Florida,US,http://dynamictouchstaffing.com/,(561) 249-9081,Laboratory,https://www.google.com/maps/search/?api=1&query=Dynamic%20Touch%20Mobile%20Phlebotomy%20Staffing&query_place_id=ChIJ0XkM-mbH2YgRUkhqqzOE9lY
"Gentle Sticks Mobile Phlebotomy, LLC",4.7,54,955 N University Dr,Coral Springs,,Florida,US,https://www.anylabtestnow.com/coral-springs-33071/,(954) 906-5983,Blood testing service,https://www.google.com/maps/search/?api=1&query=Any%20Lab%20Test%20Now%20with%20Arcpoint%20Labs&query_place_id=ChIJ0ayIKj0F2YgRw_aYp8hDqJM
Gentle Touch Laboratory,4.4,38,1855 N University Dr #1827,Coral Springs,,Florida,US,https://www.oneblood.org/?utm_source=gmb&utm_medium=yext,(954) 282-5195,Blood donation center,https://www.google.com/maps/search/?api=1&query=OneBlood&query_place_id=ChIJteZhzD8F2YgRIhqnoFHhUGY
Gentle Touch Mobile Phlebotomy LLC,5,9,920 Coral Ridge Dr,Coral Springs,,Florida,US,,(716) 708-3788,Blood testing service,https://www.google.com/maps/search/?api=1&query=Angel%20Touch%20Mobile%20Phlebotomy%20Services%20LLC&query_place_id=ChIJNe7Un7QP2YgRRZrqNlZmyFE
GetBlood Mobile Phlebotomy,4.1,14,154 Hickory Ave W,Crestview,,Florida,US,http://www.medicheckdirect.com/,(850) 682-5222,Physical examination center,https://www.google.com/maps/search/?api=1&query=Medi%20Check%20Direct&query_place_id=ChIJOyXza6h0kYgRcA1V4rkTX-s
Gifted Hands Mobile Phlebotomy Llc,2.7,7,15712 SW 41st St #16,Davie,,Florida,US,https://www.americanhealthassociates.com/,(954) 349-1160,Medical laboratory,https://www.google.com/maps/search/?api=1&query=American%20Health%20Associates&query_place_id=ChIJfxGayTan2YgRx5v2S_bhpEM
Gifted Hands Phlebotomy Llc,3.1,19,852 S Military Trail,Deerfield Beach,,Florida,US,https://cellsciencesystems.com/,(954) 426-2304,Laboratory,https://www.google.com/maps/search/?api=1&query=Cell%20Science%20Systems&query_place_id=ChIJq6qqqn4d2YgRJf8TTRwNo_I
Gifted Touch Mobile Phlebotomy,2.8,31,800 NW 17th Ave,Delray Beach,,Florida,US,http://www.apexlabinc.com/,(561) 279-1852,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Apex%20Laboratory%2C%20Inc.&query_place_id=ChIJQbwf8w7f2IgRNoDyY6ErSJ4
"Global ProLab, Inc.",1,1,601 N Congress Ave,Delray Beach,,Florida,US,https://apexlabinc.com/,(561) 279-1852,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Apex%20Laboratories&query_place_id=ChIJJZRdmvPf2IgRuxcdUmjHZiM
Good Faith Phlebotomy Services,2.7,44,15055 Jog Rd,Delray Beach,,Florida,US,https://locations.labcorp.com/fl/delray-beach/31396/,(561) 962-1835,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp%20at%20Walgreens&query_place_id=ChIJIS0fPNcf2YgRsq546nxEoGk
Guardian Labs Phlebotomy School,3.9,33,8280 NW 27th St,Doral,,Florida,US,https://doctorsclinicallab.net/,(305) 597-9905,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Doctor's%20Clinical%20Lab%20Services&query_place_id=ChIJ8f6W2nG52YgR88cPikl7qps
Guthrie Big Flats Laboratory Services,4.9,39,1500 W Cypress Creek Rd # 303,Fort Lauderdale,,Florida,US,http://amwelllabs.com/,(954) 687-1204,Blood testing service,https://www.google.com/maps/search/?api=1&query=A%26M%20Labs%20%26%20Wellness%20%26%20Mobile%20Services&query_place_id=ChIJD24ksN0D2YgRuQ2D_Xcx0sI
Guthrie Lourdes Hospital Laboratory Services,4,39,2145 Davie Blvd,Fort Lauderdale,,Florida,US,http://unilabhealth.com/,(877) 522-5678,Medical laboratory,https://www.google.com/maps/search/?api=1&query=UNILAB%20Over%2035years%20in%20business&query_place_id=ChIJ0SOZp7gA2YgRVKTme2v--a0
Guthrie Sayre Laboratory Services,4.6,10,1126 S Federal Hwy #1162,Fort Lauderdale,,Florida,US,https://busyb-mobile-phlebotomy.square.site/,(954) 480-3585,Laboratory,https://www.google.com/maps/search/?api=1&query=Busy%20B%20Mobile%20Phlebotomy&query_place_id=ChIJ_TAvWc8F2YgRyDJ-2h1J1iM
Hands of Care Mobile Phlebotomy,4.9,251,3040 E Commercial Blvd,Fort Lauderdale,,Florida,US,https://hidocmedical.com/,(954) 289-3065,Medical clinic,https://www.google.com/maps/search/?api=1&query=Hi%20Doc%20Medical%20Center%20%7C%20Physicals%20%7C%20Weight%20Loss%20%7C%20Travel%20Vaccines%20%7C%20Lab%20%7C%20Pre-surgical%20Clearance%7C%20Concierge%20Medicine&query_place_id=ChIJ96NHSi8B2YgRXC7lNFpTZ44
HarmoniCare Mobile Phlebotmy Services,4.5,56,2900 W Cypress Creek Rd STE 7,Fort Lauderdale,,Florida,US,https://ichancellor.edu/,(954) 400-0620,Nursing school,https://www.google.com/maps/search/?api=1&query=Chancellor%20Institute&query_place_id=ChIJZwxNZI4E2YgRIAO7F9Ice-I
Harmony Mobile Phlebotomy LLC,4.5,14,3465 Galt Ocean Dr #201,Fort Lauderdale,,Florida,US,https://locations.labcorp.com/fl/fort-lauderdale/51697/,(954) 754-5950,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp&query_place_id=ChIJnb_BVfgB2YgRfDTaVzA_c1A
Hawaii Medical Training Center - Honolulu,,0,,Fort Lauderdale,,Florida,US,https://simplydraw.org/,(305) 741-1310,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Simply%20Draw%20Phlebotomy%20LLC.&query_place_id=ChIJ9QDs5OWbT0ARDijzFphnxTw
Hazard ARH Lab,4.9,110,3690 Davie Blvd,Fort Lauderdale,,Florida,US,https://www.centrumhealth.com/,(954) 833-0010,Medical clinic,https://www.google.com/maps/search/?api=1&query=Centrum%20Health&query_place_id=ChIJQ5-B60gH2YgRBxL_v9JPS9g
HEALTH IS WEALTH MOBILE PHLEBOTOMY LLC,5,6,6801 Powerline Rd,Fort Lauderdale,,Florida,US,https://www.immunolabs.com/,(954) 691-2500,Laboratory,https://www.google.com/maps/search/?api=1&query=Immuno%20Laboratories&query_place_id=ChIJ6z3e2LoD2YgR9sPR0OjqTkA
Health Top Tier- Mobile Phlebotomy Services,5,29,333 Las Olas Way,Fort Lauderdale,,Florida,US,,(224) 400-6051,Medical group,https://www.google.com/maps/search/?api=1&query=Phlebotek%20Solutions&query_place_id=ChIJTcRjI34B2YgRNx5CBVV4CnI
Helping Hand Mobile Services LLC,5,2756,,"Fort Lauderdale, Miami, Aventura, Boca Raton, Palm Beach, Jupiter, Weston, Coral Springs, Parkland, West Palm Beach, Naples",,Florida,US,http://www.nrmobilelabs.com/,(954) 822-8501,Home health care service,https://www.google.com/maps/search/?api=1&query=NR%20Mobile%20Labs&query_place_id=ChIJWZ6v3foB2YgRU2_JADIL8fI
Helping Hands Mobile Medical Service,5,3,,Fort Meyers,,Florida,US,https://www.google.com/maps/search/?api=1&query=Expert%20Mobile%20Blood%20Draws&query_place_id=ChIJxbVCzhlREAARxse2_d2Ij-4,(239) 292-7626,Blood testing service,https://www.google.com/maps/search/?api=1&query=Expert%20Mobile%20Blood%20Draws&query_place_id=ChIJxbVCzhlREAARxse2_d2Ij-4
Hi Doc Medical Center | Physicals | Weight Loss | Travel Vaccines | Lab | Pre-surgical Clearance| Concierge Medicine,4.9,152,1469 Colonial Blvd #200,Fort Myers,,Florida,US,https://kemedicaltrainingcenter.com/,(239) 206-1967,Medical school,https://www.google.com/maps/search/?api=1&query=K%26E%20Medical%20Training%20Center&query_place_id=ChIJtcaTTaVr24gRoWUeFyws_2w
Highlands ARH Lab,4.6,31,9671 Gladiolus Dr #102,Fort Myers,,Florida,US,,(239) 935-7775,Medical laboratory,https://www.google.com/maps/search/?api=1&query=MyTest%20Diagnostics&query_place_id=ChIJVx2ACP4-24gRotxNwZvbzAU
Hollywood Career Institute,5,2,430 Muskegon Ave,Fort Myers,,Florida,US,,(239) 238-0992,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Premier%20Mobile%20Phlebotomy&query_place_id=ChIJ2ZXUH3IiskMRZKOWRDwEcmI
Home Draw Mobile Phlebotomy,4.8,499,1617 S 21st Ave,Hollywood,,Florida,US,http://hollywoodcareerinstitute.com/,(954) 866-3220,Medical school,https://www.google.com/maps/search/?api=1&query=Hollywood%20Career%20Institute&query_place_id=ChIJRTETe4Or2YgRAwOf_bGBMBE
House of Labs Llc Mobile Phlebotomy,2.8,567,3343 Sheridan St,Hollywood,,Florida,US,https://locations.questdiagnostics.com/fl/hollywood/3343-sheridan-st,(954) 985-0659,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Quest%20Diagnostics&query_place_id=ChIJo3rhbtKr2YgRQmo9vBZBwgg
Houston Mobile Lab,5,1182,5151 Corporate Way,Jupiter,,Florida,US,https://accessmedlab.com/,(866) 720-8386,Blood testing service,https://www.google.com/maps/search/?api=1&query=Access%20Medical%20Laboratories&query_place_id=ChIJKx9v4I7V3ogRGJ5ylNGAQEA
Humble Solutions Lab Services,3.6,39,345 Jupiter Lakes Blvd #100A,Jupiter,,Florida,US,https://locations.labcorp.com/fl/jupiter/35623/,(561) 565-6880,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp&query_place_id=ChIJtcyLJgLX3ogRak9JkqNHsAg
Hunter Business School - Medford Campus,5,4,100410 Overseas Hwy #305,Key Largo,,Florida,US,https://islandlifephlebotomy.org/,(305) 879-9077,Laboratory,https://www.google.com/maps/search/?api=1&query=Island%20Life%20Phlebotomy&query_place_id=ChIJsRD-P7Rp14gRj8wYrq40u84
iComply Testing Solutions | Pompano Beach - Drug Test - Paternity Test - Mobile Blood Test,4,5,2505 Flagler Ave,Key West,,Florida,US,,(866) 932-1097,Laboratory,https://www.google.com/maps/search/?api=1&query=BLOODLNK%20LLC&query_place_id=ChIJ54_rZNCx0YgRcrP_s88g8_8
Ideal Mobile Lab Services LLC,4.4,73,2800 N Roosevelt Blvd,Key West,,Florida,US,,(786) 457-7732,Diagnostic center,https://www.google.com/maps/search/?api=1&query=Quest%20Diagnostics%20Key%20West&query_place_id=ChIJPTDvWRex0YgRC8ZqBY-lrGw
Immuno Laboratories,4.6,49,4735 N University Dr,Lauderhill,,Florida,US,http://www.rubysacademyhealth.com/,(954) 584-1970,Nursing school,https://www.google.com/maps/search/?api=1&query=Ruby%E2%80%99s%20Academy%20for%20Health%20Occupations&query_place_id=ChIJp5OnUd4G2YgR31Ic62tiD4A
Impressive Healthcare Training & Laboratory Services,3.3,291,3400 Lee Blvd #107,Lehigh Acres,,Florida,US,https://locations.questdiagnostics.com/fl/lehigh-acres/3400-lee-blvd,(239) 303-7669,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Quest%20Diagnostics&query_place_id=ChIJv0n4N1Jy24gREDS5bYyT4N8
Incyte Diagnostics,5,9,1251 Taylor Ln Suite 6A 2,Lehigh Acres,,Florida,US,https://www.httpsmobilelabsblood.com/,(239) 483-5311,Laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Labsblood%20Services%20LLC&query_place_id=ChIJwcOalUECnkQRbMOBxziDYEY
Insurance Physical Services / In-Home Phlebotomy services,5,40,118 Conner St NE,Live Oak,,Florida,US,https://gentletouchfl.com/,(386) 205-2207,Drug testing service,https://www.google.com/maps/search/?api=1&query=Gentle%20Touch%20Laboratory&query_place_id=ChIJLZRO-5jf7ogRDBTebFmDgm4
Interpath Laboratory Inc,5,21,,Miami,Broward County,Florida,US,http://www.delicatehandsmobilelab.com/,(786) 613-9822,Laboratory,https://www.google.com/maps/search/?api=1&query=Delicate%20Hands%20Mobile%20Lab%20L.L.C~Your%20lab%20on%20Wheels&query_place_id=ChIJ1btfFoav2YgRIgySavRDXtw
Island Life Phlebotomy,4.6,640,3510 Biscayne Blvd,Miami,,Florida,US,https://careresource.org/,(305) 576-1234,Community health center,https://www.google.com/maps/search/?api=1&query=Care%20Resource%20Community%20Health%20Centers&query_place_id=ChIJ6ftNf1ax2YgRFPPtaeyev-8
Izzy's Care,5,3,,Miami,,Florida,US,https://quicklabmobile.com/,(855) 729-1756,Blood testing service,https://www.google.com/maps/search/?api=1&query=Quick%20Lab%20Mobile&query_place_id=ChIJSazz5aRqO0YRJlG5yDWtorY
J C Blair Medical Laboratory,,0,,Miami,,Florida,US,https://www.google.com/maps/search/?api=1&query=Meraki%20Exclusive%20Phlebotomy%20Mobile%20Service&query_place_id=ChIJRWL7bRYu540R5TiOnax_JRg,(305) 434-6843,Laboratory,https://www.google.com/maps/search/?api=1&query=Meraki%20Exclusive%20Phlebotomy%20Mobile%20Service&query_place_id=ChIJRWL7bRYu540R5TiOnax_JRg
Jayson Mobile Care Phlebotomist LLC,,0,8370 W Flagler St STE 222,Miami,,Florida,US,,(786) 424-8595,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Elite%20Phlebotomy%20Service&query_place_id=ChIJ62Boyh-52YgRLPG1I7Fl5nI
JenCare Senior Medical Center,5,1,,Miami Beach,,Florida,US,https://crcshealth.com/?utm_campaign=gmb,(786) 654-8131,Health spa,https://www.google.com/maps/search/?api=1&query=CRCS%20Mobile%20Health%2C%20LLC&query_place_id=ChIJg4TkzYK12YgRLNncHDeLPyw
Jet Medical Center - Tallahassee,5,5,,"Miami, Boca Raton, Pompano Beach, Fort Lauderdale",,Florida,US,https://www.google.com/maps/search/?api=1&query=Mobile%20Virtuous%20Phlebotomy&query_place_id=ChIJr68UmR9f04YRGtwDpNjWXBE,(954) 861-9390,Laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Virtuous%20Phlebotomy&query_place_id=ChIJr68UmR9f04YRGtwDpNjWXBE
Just A Pinch Mobile Phlebotomy,5,40,3350 SW 148th Ave Suit 110,Miramar,,Florida,US,http://www.superiorcaremobile.com/,(954) 951-3999,Laboratory,https://www.google.com/maps/search/?api=1&query=Superior%20Care%20Mobile%20Phlebotomy%20LLC&query_place_id=ChIJTSebJ1Ov2YgRDmlPc8bce1A
Just Do LaBs Mobile Concierge Services,4.9,171,6610 Willow Park Dr STE 101,Naples,,Florida,US,https://millenniumphysician.com/location/naples-willow-park-lab/,(239) 430-5571,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Millennium%20Physician%20Group%20-%20Naples%20Lab&query_place_id=ChIJI2ecic0d24gRNxfPPSrPENc
K&E Medical Training Center,5,12,2037 Rookery Bay Dr,Naples,,Florida,US,,(954) 440-5830,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Home%20Care%20Phlebotomy&query_place_id=ChIJGQKVlm4XcmcRx1o2NM8EDHI
Kaiser Permanente Pueblo North Medical Offices,2.6,85,4888 Davis Blvd,Naples,,Florida,US,,(866) 697-8378,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Quest%20Diagnostics&query_place_id=ChIJPfHqdf_i2ogRt2649BXIwDQ
Kansas City School of Phlebotomy,5,179,1509 NE 167th St,North Miami Beach,,Florida,US,https://www.mydnaprofiles.com/,(305) 947-3990,Paternity testing service,https://www.google.com/maps/search/?api=1&query=DNA%20Profiles%20Inc.&query_place_id=ChIJiYDWbMat2YgRFpd6V4wFDC4
Kardynal Mobile Phlebotomy LLC,2.6,99,14816 Tamiami Trl Ste A-108,North Port,,Florida,US,https://locations.labcorp.com/fl/north-port/23078/,(941) 423-7429,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp&query_place_id=ChIJHTmmpbpUw4gRYQbeoNU-6Ag
Katura Laboratory Mobile Phlebotomy Services,3.9,76,212 NE 19th Dr,Okeechobee,,Florida,US,https://locations.questdiagnostics.com/fl/okeechobee/212-ne-19th-dr,(863) 464-9864,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Quest%20Diagnostics&query_place_id=ChIJC9r3ZRcg3IgRlso97BBlYZQ
KinnRidge Mobile Phlebotomy,5,161,1800 Pembrook Dr Suite 300,Orlando,,Florida,US,https://www.convelabs.com/,(941) 527-9169,Medical laboratory,https://www.google.com/maps/search/?api=1&query=ConveLabs%20Mobile%20Lab%20Services&query_place_id=ChIJXw6m5nZx54gRBg0C4uAM96I
Klarity Mobile Phlebotomy,5,19,2007 S Westmoreland Dr,Orlando,,Florida,US,,(321) 878-7917,Laboratory,https://www.google.com/maps/search/?api=1&query=Angel%20Hands%20Mobile%20Phlebotomy%20Services%2C%20LLC&query_place_id=ChIJuQMLRk2R3YgRnnS79wx_hU0
KM Professional Mobile Phlebotomy,4.8,116,11000 Prosperity Farms Rd STE 206,Palm Beach Gardens,,Florida,US,https://www.lamedicalpb.com/,(561) 433-5577,Doctor,https://www.google.com/maps/search/?api=1&query=LA%20Medical%20Associates&query_place_id=ChIJnaadaNUr34gRf0ICM3DanBs
KRL Mobile Lab,3.8,237,2885 SW Cafe Ct,Palm City,,Florida,US,https://locations.questdiagnostics.com/fl/palm-city/2885-cafe-court,(772) 286-2024,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Quest%20Diagnostics&query_place_id=ChIJ4ReVVtnC3ogRznZIVMwtPOY
"KS Health Services, LLC",3.9,21,1676 S Congress Ave,Palm Springs,,Florida,US,https://www.anylabtestnow.com/palm-springs-33461/,(561) 323-2114,Blood testing service,https://www.google.com/maps/search/?api=1&query=Any%20Lab%20Test%20Now&query_place_id=ChIJzwu6TB3Y2IgRACleTZwF5f8
LA Medical Associates,4.9,130,330 W 23rd St Suite H,Panama City,,Florida,US,https://www.anylabtestnow.com/panama-city-32405/,(850) 200-0180,Drug testing service,https://www.google.com/maps/search/?api=1&query=Any%20Lab%20Test%20Now&query_place_id=ChIJMxbakgeDk4gR-It1K2-cIUs
Lab Exodus Mobile Phlebotomy Hawaii,4.8,192,10800 Panama City Beach Pkwy #200,Panama City Beach,,Florida,US,http://www.patellabs850.com/,(850) 964-0808,Laboratory,https://www.google.com/maps/search/?api=1&query=Patel%20Labs%20-%20Quest&query_place_id=ChIJ8dTY2I-Pk4gR4kc51Vex1cg
Lab Express,3,331,17900 NW 5th St Suite 101,Pembroke Pines,,Florida,US,https://locations.questdiagnostics.com/fl/pembroke-pines/17900-nw-5th-street,(954) 392-6508,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Quest%20Diagnostics&query_place_id=ChIJdXFuhl6h2YgR7rro1zavhAw
Lab Outreach at Building 22,5,37,555 S Pompano Pkwy Suite 3,Pompano Beach,,Florida,US,http://www.icomplytesting.com/,(954) 859-5981,Drug testing service,https://www.google.com/maps/search/?api=1&query=iComply%20Testing%20Solutions%20%7C%20Pompano%20Beach%20-%20Drug%20Test%20-%20Paternity%20Test%20-%20Mobile%20Blood%20Test&query_place_id=ChIJ32hqSGgD2YgRmoG9WQouWIQ
Lab Outreach Services of EAMC,5,2,,Pompano Beach,,Florida,US,,(954) 532-1368,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Allpro%20Mobile%20Phlebotomy%20Services%20LLC&query_place_id=ChIJ308ymbAF2YgRmswCnUlK3b8
Lab Services at Idaho Elks Children's Pavilion: Boise,5,5,856 Ellicott Cir NW,Port Charlotte,,Florida,US,http://getmea1.com/,(239) 691-1436,Drug testing service,https://www.google.com/maps/search/?api=1&query=A-1%20Screenings%2Fmobile%20services&query_place_id=ChIJ305LEmmp3IgRhEH1galIP4s
Lab Services at St. Luke's Meridian Medical Center,5,55,466 SW Port St Lucie Blvd #114,Port St. Lucie,,Florida,US,https://www.radiantrecharge.com/,(772) 837-0500,Wellness center,https://www.google.com/maps/search/?api=1&query=Radiant%20Recharge&query_place_id=ChIJc_dyrc8bzWsRrb1iRV6QqUI
LabCall Mobile Phlebotomy Services,3.3,60,685 Royal Palm Beach Blvd #102,Royal Palm Beach,,Florida,US,https://locations.labcorp.com/fl/royal-palm-beach/19988/,(561) 383-6588,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp&query_place_id=ChIJtdNzCwgv2YgRUxWHolNfGfw
LabCollective Mobile Phlebotomy Services,4.3,29,5880 Rand Blvd,Sarasota,,Florida,US,https://www.smh.com/Home/Locations/Health-Care-Center-at-Clark-Road,(941) 917-5111,Medical clinic,https://www.google.com/maps/search/?api=1&query=SMH%20Care%20Center%20at%20Clark%20Road&query_place_id=ChIJDW1lUqNGw4gRsUMHVRAbznI
Labcorp,5,112,5825 US Hwy 27 N,Sebring,,Florida,US,http://mobilephlebexcellence.com/,(888) 915-2988,Laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20Excellence&query_place_id=ChIJpzV9AzEgm4QRqxCOp-h41a8
Labcorp,5,6,7901 4th St N #20352,St. Petersburg,,Florida,US,https://vamplabs.com/,(813) 578-8865,Blood testing service,https://www.google.com/maps/search/?api=1&query=VAMP%20Veteran%20Accuracy%20Mobile%20Phlebotomy&query_place_id=ChIJLRftgRfZwogRqLes-icRt8M
Labcorp,,0,4909 N Monroe St,Tallahassee,,Florida,US,https://giftedhandsmobilephlebotomyllc.com/,(229) 254-9203,Medical office,https://www.google.com/maps/search/?api=1&query=Gifted%20Hands%20Mobile%20Phlebotomy%20Llc&query_place_id=ChIJj2A93p_37IgRbzxKa8c_8Hc
Labcorp,2.9,35,1838 Jaclif Ct,Tallahassee,,Florida,US,https://jetmedicalcenter.com/jet-medical-center/,(850) 889-1234,Medical Center,https://www.google.com/maps/search/?api=1&query=Jet%20Medical%20Center%20-%20Tallahassee&query_place_id=ChIJt1kKBAdf7IgRdsVa9FTtBHk
Labcorp,2.6,93,1560 Capital Cir NW Ste 6 78,Tallahassee,,Florida,US,https://locations.labcorp.com/fl/tallahassee/31655/,(850) 999-8880,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp&query_place_id=ChIJLbq55R7z7IgR75VP9X5n--k
Labcorp,5,1,4909 N Monroe St,Tallahassee,,Florida,US,https://www.giftedhandsphlebotomy24.org/,,Laboratory,https://www.google.com/maps/search/?api=1&query=Gifted%20Hands%20Phlebotomy%20Llc&query_place_id=ChIJM9zgMQD37IgRqy5Q_4y1m9I
Labcorp,,0,,Tampa Bay,Pinellas County ,Florida,US,https://delicatetouchmobilephlebotomy.com/,(561) 853-5389,Home health care service,https://www.google.com/maps/search/?api=1&query=DELICATELY%20TOUCHED%20LLC%20Mobile%20Phlebotomy&query_place_id=ChIJY2fwwQl11wARBNONPiOkxjs
Labcorp,2.7,80,333 S Tamiami Trl Ste 173,Venice,,Florida,US,https://locations.labcorp.com/fl/venice/241/,(941) 484-2694,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp&query_place_id=ChIJW0GgEbpbw4gR5FSPfVTa2U8
Labcorp,5,61,500 S Australian Ave #636,West Palm Beach,,Florida,US,http://phlebprovider.com/,(561) 320-3071,Blood testing service,https://www.google.com/maps/search/?api=1&query=A%20Gentle%20Touch%20Inc&query_place_id=ChIJbTxVy-lTN04RynxU0ZBIBHg
Labcorp,2.2,189,4368 Forest Hill Blvd,West Palm Beach,,Florida,US,https://locations.labcorp.com/fl/west-palm-beach/20455/,(561) 432-9827,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp&query_place_id=ChIJcSxj1g8o2YgR5cB5AQZ8NDI
Labcorp,3.4,139,4700 N Congress Ave STE 303,West Palm Beach,,Florida,US,https://locations.questdiagnostics.com/fl/west-palm-beach/4700-n-congress-ave,(561) 594-0023,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Quest%20Diagnostics&query_place_id=ChIJzWpVbK7V2IgRW2s03T1qsOU
Labcorp,4.9,32,2685 Executive Park Dr Suites 7 & 8,Weston,,Florida,US,https://encoremedicalresearch.com/,(954) 777-8827,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Encore%20Medical%20Research%20of%20Weston%20LLC&query_place_id=ChIJe7MiEP-h2YgRYW0QD0PJIao
Labcorp,5,477,,,"Miami-Dade County, Broward County, Palm Beach County, Port St. Lucie",Florida,US,http://mobilephlebotomyservicesfl.com/,(754) 227-9238,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20Services%20of%20Florida%2C%20LLC&query_place_id=ChIJTU1Ur8UJ2YgR0rvjDqiw6iE
Labcorp,,0,,,"South Florida, Treasure Coast",Florida,US,http://mobilephlebotomyservicesfl.com/,(754) 227-9238,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20Services%20of%20Miami&query_place_id=ChIJiX6N6aUX54gRGFzOPNrqfmM
Labcorp,5,3,,,"Manatee County, Sarasota County, Pinellas County, Hillsborough County",Florida,US,http://quickstickmobile.com/,(941) 681-1291,Laboratory,https://www.google.com/maps/search/?api=1&query=QuickStick%20Mobile%20Phlebotomy%20Services%2CLLC&query_place_id=ChIJpf0DBp0fQ48RQlinfZjOuDk
