name,totalScore,reviewsCount,street,regions serviced,city,state,countryCode,website,phone,categoryName,url,is_mobile_phlebotomy,is_nationwide,verified_service_areas,validation_notes
MyTest Diagnostics,4.6,31,9671 Gladiolus Dr #102,,Fort Myers,Florida,US,,(239) 935-7775,Medical laboratory,https://www.google.com/maps/search/?api=1&query=MyTest%20Diagnostics&query_place_id=ChIJVx2ACP4-24gRotxNwZvbzAU,No,No,"Fort Myers, Florida","Fixed medical laboratory location, not a mobile phlebotomy service."
K&E Medical Training Center,4.9,152,1469 Colonial Blvd #200,,Fort Myers,Florida,US,https://kemedicaltrainingcenter.com/,(239) 206-1967,Medical school,https://www.google.com/maps/search/?api=1&query=K%26E%20Medical%20Training%20Center&query_place_id=ChIJtcaTTaVr24gRoWUeFyws_2w,No,No,"Fort Myers, Florida","Medical training school, not a mobile phlebotomy service."
Mobile Labsblood Services LLC,5,9,1251 Taylor Ln Suite 6A 2,,Lehigh Acres,Florida,US,https://www.httpsmobilelabsblood.com/,(239) 483-5311,Laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Labsblood%20Services%20LLC&query_place_id=ChIJwcOalUECnkQRbMOBxziDYEY,Yes,No,"Lehigh Acres, Florida area",Mobile laboratory services - company name clearly indicates mobile specialization.
Premier Mobile Phlebotomy,5,2,430 Muskegon Ave,,Fort Myers,Florida,US,,(239) 238-0992,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Premier%20Mobile%20Phlebotomy&query_place_id=ChIJ2ZXUH3IiskMRZKOWRDwEcmI,Yes,No,"Lake Jackson, Texas area",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.
Lab Express,4.8,149,814 SW Pine Island Rd Suite 306,,Cape Coral,Florida,US,https://www.labexpressservices.com/,(239) 488-2457,Drug testing service,https://www.google.com/maps/search/?api=1&query=Lab%20Express&query_place_id=ChIJWdDbyClH24gRZ03W_eUZb6g,No,No,"Cape Coral, Florida","Drug testing service with fixed location, not a mobile phlebotomy service."
Hi Doc Medical Center | Physicals | Weight Loss | Travel Vaccines | Lab | Pre-surgical Clearance| Concierge Medicine,4.9,251,3040 E Commercial Blvd,,Fort Lauderdale,Florida,US,https://hidocmedical.com/,(954) 289-3065,Medical clinic,https://www.google.com/maps/search/?api=1&query=Hi%20Doc%20Medical%20Center%20%7C%20Physicals%20%7C%20Weight%20Loss%20%7C%20Travel%20Vaccines%20%7C%20Lab%20%7C%20Pre-surgical%20Clearance%7C%20Concierge%20Medicine&query_place_id=ChIJ96NHSi8B2YgRXC7lNFpTZ44,No,No,"Fort Lauderdale, Florida","Fixed medical clinic location offering concierge medicine, not mobile phlebotomy."
Hollywood Career Institute,4.8,499,1617 S 21st Ave,,Hollywood,Florida,US,http://hollywoodcareerinstitute.com/,(954) 866-3220,Medical school,https://www.google.com/maps/search/?api=1&query=Hollywood%20Career%20Institute&query_place_id=ChIJRTETe4Or2YgRAwOf_bGBMBE,No,No,"Hollywood, Florida","Medical training school, not a mobile phlebotomy service."
Any Lab Test Now with Arcpoint Labs,4.7,54,955 N University Dr,,Coral Springs,Florida,US,https://www.anylabtestnow.com/coral-springs-33071/,(954) 906-5983,Blood testing service,https://www.google.com/maps/search/?api=1&query=Any%20Lab%20Test%20Now%20with%20Arcpoint%20Labs&query_place_id=ChIJ0ayIKj0F2YgRw_aYp8hDqJM,No,Yes,National franchise network,"Fixed location blood testing service franchise, not a mobile phlebotomy service."
Cape Coral Technical College,4.3,64,360 Santa Barbara Blvd N,,Cape Coral,Florida,US,http://www.capecoraltech.edu/,(239) 574-4440,College,https://www.google.com/maps/search/?api=1&query=Cape%20Coral%20Technical%20College&query_place_id=ChIJG9r-TJ9G24gRQ-nYsOLmz-g,No,No,"Cape Coral, Florida","Educational institution/college, not a mobile phlebotomy service."
Mobile Home Care Phlebotomy,5,12,2037 Rookery Bay Dr,,Naples,Florida,US,,(954) 440-5830,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Home%20Care%20Phlebotomy&query_place_id=ChIJGQKVlm4XcmcRx1o2NM8EDHI,Yes,No,"Naples, Florida area",Mobile phlebotomy service - company name clearly indicates mobile home care specialization.
Apex Laboratories,1,1,601 N Congress Ave,South Florida,Delray Beach,Florida,US,https://apexlabinc.com/,(561) 279-1852,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Apex%20Laboratories&query_place_id=ChIJJZRdmvPf2IgRuxcdUmjHZiM,No,No,"Delray Beach, Florida","Fixed medical laboratory location, not a mobile phlebotomy service."
Access Medical Laboratories,5,1182,5151 Corporate Way,,Jupiter,Florida,US,https://accessmedlab.com/,(866) 720-8386,Blood testing service,https://www.google.com/maps/search/?api=1&query=Access%20Medical%20Laboratories&query_place_id=ChIJKx9v4I7V3ogRGJ5ylNGAQEA,No,No,"Jupiter, Florida","Fixed blood testing service location, not a mobile phlebotomy service."
Gifted Hands Phlebotomy Llc,5,1,4909 N Monroe St,,Tallahassee,Florida,US,https://www.giftedhandsphlebotomy24.org/,,Laboratory,https://www.google.com/maps/search/?api=1&query=Gifted%20Hands%20Phlebotomy%20Llc&query_place_id=ChIJM9zgMQD37IgRqy5Q_4y1m9I,Unknown,Unknown,"Tallahassee, Florida",Laboratory service but unclear if mobile services offered. Limited information available.
Gentle Touch Laboratory,5,40,118 Conner St NE,,Live Oak,Florida,US,https://gentletouchfl.com/,(386) 205-2207,Drug testing service,https://www.google.com/maps/search/?api=1&query=Gentle%20Touch%20Laboratory&query_place_id=ChIJLZRO-5jf7ogRDBTebFmDgm4,No,No,"Live Oak, Florida","Drug testing service with fixed location, not a mobile phlebotomy service."
Patel Labs - Quest,4.8,192,10800 Panama City Beach Pkwy #200,,Panama City Beach,Florida,US,http://www.patellabs850.com/,(850) 964-0808,Laboratory,https://www.google.com/maps/search/?api=1&query=Patel%20Labs%20-%20Quest&query_place_id=ChIJ8dTY2I-Pk4gR4kc51Vex1cg,No,No,"Panama City Beach, Florida","Fixed laboratory location affiliated with Quest, not a mobile phlebotomy service."
Medi Check Direct,4.1,14,154 Hickory Ave W,,Crestview,Florida,US,http://www.medicheckdirect.com/,(850) 682-5222,Physical examination center,https://www.google.com/maps/search/?api=1&query=Medi%20Check%20Direct&query_place_id=ChIJOyXza6h0kYgRcA1V4rkTX-s,No,No,"Crestview, Florida","Physical examination center with fixed location, not a mobile phlebotomy service."
Jet Medical Center - Tallahassee,2.9,35,1838 Jaclif Ct,,Tallahassee,Florida,US,https://jetmedicalcenter.com/jet-medical-center/,(850) 889-1234,Medical Center,https://www.google.com/maps/search/?api=1&query=Jet%20Medical%20Center%20-%20Tallahassee&query_place_id=ChIJt1kKBAdf7IgRdsVa9FTtBHk,No,No,"Tallahassee, Florida","Fixed medical center location, not a mobile phlebotomy service."
OneBlood,4.3,36,2696 Martin Luther King Jr Blvd,,Panama City,Florida,US,https://www.oneblood.org/?utm_source=gmb&utm_medium=yext,(850) 785-9398,Blood donation center,https://www.google.com/maps/search/?api=1&query=OneBlood&query_place_id=ChIJrxeUsc6Dk4gRpTh3WKZC6iU,No,No,Southeast US,"Regional blood donation center, not a mobile phlebotomy service."
Gifted Hands Mobile Phlebotomy Llc,,0,4909 N Monroe St,,Tallahassee,Florida,US,https://giftedhandsmobilephlebotomyllc.com/,(229) 254-9203,Medical office,https://www.google.com/maps/search/?api=1&query=Gifted%20Hands%20Mobile%20Phlebotomy%20Llc&query_place_id=ChIJj2A93p_37IgRbzxKa8c_8Hc,Yes,No,"Tallahassee, Florida area",Mobile phlebotomy service - company name clearly indicates mobile specialization.
Any Lab Test Now,4.9,130,330 W 23rd St Suite H,,Panama City,Florida,US,https://www.anylabtestnow.com/panama-city-32405/,(850) 200-0180,Drug testing service,https://www.google.com/maps/search/?api=1&query=Any%20Lab%20Test%20Now&query_place_id=ChIJMxbakgeDk4gR-It1K2-cIUs,No,Yes,National franchise network,Fixed location blood testing service center franchise. Not a mobile phlebotomy service.
Divine Mobile Phlebotomy Services,5,5,4751 Best Rd Suite 400P,,Atlanta,Georgia,US,https://www.dmpservice.site/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=9597214995333659934,(470) 829-0120,Laboratory,https://www.google.com/maps/search/?api=1&query=Divine%20Mobile%20Phlebotomy%20Services&query_place_id=ChIJ68_E0orj9IgR8-Fe-Ctu488,Yes,No,"Atlanta, Georgia metro area","Mobile phlebotomy service serving Metro Atlanta. Offers routine labs, STD testing, DOT testing, COVID testing, telehealth services."
Caring Hands Mobile Phlebotomy,5,8,1445 Woodmont Ln NW suite 558,,Atlanta,Georgia,US,https://caringhandsphlebo.com/,(678) 603-4240,Laboratory,https://www.google.com/maps/search/?api=1&query=Caring%20Hands%20Mobile%20Phlebotomy&query_place_id=ChIJyZFLxBcZjggRPfCq2f8C8_c,Yes,No,"Atlanta, Georgia area",Mobile phlebotomy service - company name clearly indicates mobile specialization.
Lifesouth Community Blood Centers,3.9,10,301 Woodrow Wilson Dr,,Valdosta,Georgia,US,http://lifesouth.org/,(229) 219-1616,Blood donation center,https://www.google.com/maps/search/?api=1&query=Lifesouth%20Community%20Blood%20Centers&query_place_id=ChIJJ9Tc_iRn7ogRlo7cysRJ7CQ,No,No,Southeast US,"Blood donation center, not a mobile phlebotomy service."
Hawaii Medical Training Center - Honolulu,4.8,72,900 N Nimitz Hwy Suite 202,,Honolulu,Hawaii,US,http://www.gohmtc.com/,(808) 392-3037,Medical school,https://www.google.com/maps/search/?api=1&query=Hawaii%20Medical%20Training%20Center%20-%20Honolulu&query_place_id=ChIJhzD7xT9kAHwRXMEmKLC1AHU,No,No,"Honolulu, Hawaii","Medical training school, not a mobile phlebotomy service."
Lab Services at Idaho Elks Children's Pavilion: Boise,,0,305 E Jefferson St,,Boise,Idaho,US,https://www.stlukesonline.org/communities-and-locations/facilities/labs-and-imaging-centers/lab-services-at-idaho-elks-childrens-pavilion,(208) 706-5437,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Lab%20Services%20at%20Idaho%20Elks%20Children's%20Pavilion%3A%20Boise&query_place_id=ChIJreCK27n5rlQRwIizouRp9xo,No,No,"Boise, Idaho","Fixed laboratory facility at hospital, not a mobile phlebotomy service."
Valor Health,4,148,1202 E Locust St,,Emmett,Idaho,US,http://www.valorhealth.org/,(208) 365-3561,Hospital,https://www.google.com/maps/search/?api=1&query=Valor%20Health&query_place_id=ChIJD9vsQosJr1QRmagF5riNLPU,No,No,"Emmett, Idaho","Hospital facility, not a mobile phlebotomy service."
Interpath Laboratory Inc,2.2,29,8660 W Emerald St #102,,Boise,Idaho,US,http://www.interpathlab.com/,(208) 375-2350,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Interpath%20Laboratory%20Inc&query_place_id=ChIJzzRnAm5WrlQRPSnlztlH5f0,No,No,"Boise, Idaho","Fixed medical laboratory location, not a mobile phlebotomy service."
"St. Luke's Lab Services: Meridian, E. Copper Point Dr.",5,14,3041 E Copper Point Dr,,Meridian,Idaho,US,https://www.stlukesonline.org/communities-and-locations/facilities/labs-and-imaging-centers/st-lukes-lab-services-meridian-e-copper-point-dr,(208) 706-9899,Blood testing service,https://www.google.com/maps/search/?api=1&query=St.%20Luke's%20Lab%20Services%3A%20Meridian%2C%20E.%20Copper%20Point%20Dr.&query_place_id=ChIJAfNBc8lRrlQRpISI5PEzBe0,No,No,"Meridian, Idaho","Fixed blood testing service location part of St. Luke's network, not a mobile phlebotomy service."
Lab Services at St. Luke's Meridian Medical Center,3.8,18,520 S Eagle Rd,,Meridian,Idaho,US,https://www.stlukesonline.org/communities-and-locations/facilities/labs-and-imaging-centers/lab-services-at-st-lukes-meridian-medical-center,(208) 706-1536,Blood testing service,https://www.google.com/maps/search/?api=1&query=Lab%20Services%20at%20St.%20Luke's%20Meridian%20Medical%20Center&query_place_id=ChIJJxdByu5XrlQRNUg0dwZj0mU,No,No,"Meridian, Idaho","Fixed blood testing service at medical center, not a mobile phlebotomy service."
North Idaho College Workforce Training Center,4.2,29,525 Clearwater Loop,,Post Falls,Idaho,US,https://www.nic.edu/wtc/,(208) 769-3333,Trade school,https://www.google.com/maps/search/?api=1&query=North%20Idaho%20College%20Workforce%20Training%20Center&query_place_id=ChIJbTtoi9_cYVMR9NEcTAci_pw,No,No,"Post Falls, Idaho","Trade school/training center, not a mobile phlebotomy service."
"Veinpire, Mobile Phlebotomy Services & Training",4.5,80,500 W North St,,Springfield,Illinois,US,http://veinpirellc.com/,(866) 503-3443,Vocational school,https://www.google.com/maps/search/?api=1&query=Veinpire%2C%20Mobile%20Phlebotomy%20Services%20%26%20Training&query_place_id=ChIJoT8qmUw5dYgRLj1ySI4OQIs,Yes,No,"Springfield, Illinois area",Mobile phlebotomy service and training - company name clearly indicates mobile specialization.
Northwestern Medicine Laboratory Services Huntley,4,8,"Medical Office, 10350 Haligus Rd Building 1",,Huntley,Illinois,US,https://www.nm.org/locations/huntley-hospital-laboratory-services?utm_source=yext&utm_medium=other+location&utm_campaign=online+listings&y_source=1_OTg5MDM4NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(630) 933-2633,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Northwestern%20Medicine%20Laboratory%20Services%20Huntley&query_place_id=ChIJz98Bb4cTD4gR6bqkC6TGkyE,No,No,"Huntley, Illinois","Fixed medical laboratory location part of Northwestern Medicine network, not a mobile phlebotomy service."
NICL Laboratories,3.8,17,306 Era Dr,,Northbrook,Illinois,US,http://nicl.com/,(847) 509-9779,Medical laboratory,https://www.google.com/maps/search/?api=1&query=NICL%20Laboratories&query_place_id=ChIJg-QJJka_D4gRQlIQfIvtDlU,No,No,"Northbrook, Illinois","Fixed medical laboratory location, not a mobile phlebotomy service."
STAT LABORATORY,5,1,10716 S Roberts Rd,,Palos Hills,Illinois,US,http://statlabinc.com/,(708) 608-8948,Medical laboratory,https://www.google.com/maps/search/?api=1&query=STAT%20LABORATORY&query_place_id=ChIJi75Bhf84DogRKjfnLraQldU,No,No,"Palos Hills, Illinois","Fixed medical laboratory location, not a mobile phlebotomy service."
Trilab Health - Diagnostics,5,17,1780 Green Bay Rd Ste 205,,Highland Park,Illinois,US,https://g.page/r/Ce6o8dUQCnMFEAg/review,(847) 474-5391,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Trilab%20Health%20-%20Diagnostics&query_place_id=ChIJfUf1EJ_BD4gR7qjx1RAKcwU,No,No,"Highland Park, Illinois","Fixed medical laboratory location, not a mobile phlebotomy service."
NICL Laboratories - McHenry,4.7,7,4302 W Crystal Lake Rd Unit B,,McHenry,Illinois,US,http://www.nicl.com/,(815) 578-1547,Medical laboratory,https://www.google.com/maps/search/?api=1&query=NICL%20Laboratories%20-%20McHenry&query_place_id=ChIJEz2kQG1xD4gRzP-Yyuhy1xY,No,No,"McHenry, Illinois","Fixed medical laboratory location, not a mobile phlebotomy service."
Stars Academy School Of Phlebotomy,4.7,48,8077 W 95th St,,Hickory Hills,Illinois,US,http://www.stars-academy.net/,(708) 233-0590,Medical school,https://www.google.com/maps/search/?api=1&query=Stars%20Academy%20School%20Of%20Phlebotomy&query_place_id=ChIJkyTEhmo4DogRhnYVkOVEeAA,No,No,"Hickory Hills, Illinois","Phlebotomy training school, not a mobile phlebotomy service."
Stat Mobile Phlebotomy Laboratory,,0,1 O'Plaine Rd,,Gurnee,Illinois,US,https://www.smobilep.com/contact,(872) 813-4712,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Stat%20Mobile%20Phlebotomy%20Laboratory&query_place_id=ChIJXb-bx2ySD4gRwUkLqsVMAjo,Yes,No,"Gurnee/Waukegan, Illinois area",Mobile phlebotomy service - company name clearly indicates mobile specialization. Provides home blood draws.
Insurance Physical Services / In-Home Phlebotomy services,5,1,3664 Congressional Pkwy,,Elgin,Illinois,US,,(224) 227-7675,Home health care service,https://www.google.com/maps/search/?api=1&query=Insurance%20Physical%20Services%20%2F%20In-Home%20Phlebotomy%20services&query_place_id=ChIJ95hwT1iqD4gRjTsaIBvaqyQ,Yes,No,"Elgin, Illinois area",In-home phlebotomy services - company name clearly indicates mobile specialization.
STAT MOBILE PHLEBOTOMY AND LABORATORY LLC,4.3,6,2835 Belvidere Rd Suit 112,,Waukegan,Illinois,US,http://www.smobilep.com/,(872) 813-4712,Laboratory,https://www.google.com/maps/search/?api=1&query=STAT%20MOBILE%20PHLEBOTOMY%20AND%20LABORATORY%20LLC&query_place_id=ChIJF8DbQOOTD4gR5ldbP0J6l1o,Yes,No,"Waukegan, Illinois area",Mobile phlebotomy service - company name clearly indicates mobile specialization.
Northwestern Medicine Laboratory Services Crystal Lake,4.6,5,360 Station Dr Suite 150,,Crystal Lake,Illinois,US,https://www.nm.org/locations/laboratory-services-crystal-lake?utm_source=yext&utm_medium=other+location&utm_campaign=online+listings&y_source=1_OTg5MDQxNy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(630) 933-2633,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Northwestern%20Medicine%20Laboratory%20Services%20Crystal%20Lake&query_place_id=ChIJk_L3oslyD4gRcBFPx-0tHcQ,No,No,"Crystal Lake, Illinois","Fixed medical laboratory location part of Northwestern Medicine network, not a mobile phlebotomy service."
VIP Labs,5,1,722 W Exchange St,,Crete,Illinois,US,http://www.myviplabs.com/,(708) 852-3171,Medical laboratory,https://www.google.com/maps/search/?api=1&query=VIP%20Labs&query_place_id=ChIJW8dxoPggcK0R0XFrKZQSkPA,No,No,"Crete, Illinois","Fixed medical laboratory location, not a mobile phlebotomy service."
HEALTH IS WEALTH MOBILE PHLEBOTOMY LLC,5,6,3212 Mallard Cove Ln suite d,,Fort Wayne,Indiana,US,https://www.healthiswealthmobile.com/,(260) 999-3387,Blood testing service,https://www.google.com/maps/search/?api=1&query=HEALTH%20IS%20WEALTH%20MOBILE%20PHLEBOTOMY%20LLC&query_place_id=ChIJjcv9s8bnFYgRdKnaj3r4eXw,Yes,No,"Fort Wayne, Indiana area",Mobile phlebotomy service - company name clearly indicates mobile specialization.
"LabLife Phlebotomy Services,LLC",5,10,607 S Lake St,,Gary,Indiana,US,https://lablifephlebotomy.com/,(219) 285-1522,Medical laboratory,https://www.google.com/maps/search/?api=1&query=LabLife%20Phlebotomy%20Services%2CLLC&query_place_id=ChIJn5HtBinBEYgRc4_3WWjY7d4,Yes,No,"Gary, Indiana area",Mobile phlebotomy service based on company services and name.
American Health Associates,,0,10204 Lantern Rd,,Fishers,Indiana,US,https://www.americanhealthassociates.com/,(800) 522-7556,Medical laboratory,https://www.google.com/maps/search/?api=1&query=American%20Health%20Associates&query_place_id=ChIJT1lTrUqzFIgRVGJL9pBhhW0,No,No,"Davie, Florida","Fixed medical laboratory location, not a mobile phlebotomy service."
Mobile phlebotomy plus LLC,,0,814 Main St,,Benton,Kentucky,US,,(270) 205-5008,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20phlebotomy%20plus%20LLC&query_place_id=ChIJVVVFDmNDeogRy_Ww-6U0EOo,Yes,No,"Benton, Kentucky area",Mobile phlebotomy service - company name clearly indicates mobile specialization.
Hazard ARH Lab,,0,100 Medical Center Dr Suite 103,,Hazard,Kentucky,US,https://providers.arh.org/location/Hazard%20ARH%20Lab/LOC0000132790?utm_source=gbp&utm_medium=yext,(606) 439-6666,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Hazard%20ARH%20Lab&query_place_id=ChIJT5VnU1HHRIgRGi8QAaJc88c,No,No,"Hazard, Kentucky","Fixed medical laboratory location part of ARH network, not a mobile phlebotomy service."
Highlands ARH Lab,,0,5000 KY-321 Suite 102,,Prestonsburg,Kentucky,US,https://providers.arh.org/location/Highlands%20ARH%20Lab/LOC0000132805?utm_source=gbp&utm_medium=yext,(606) 886-7775,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Highlands%20ARH%20Lab&query_place_id=ChIJfzl3UwwHRYgRho1zaUJUv1g,No,No,"Prestonsburg, Kentucky","Fixed medical laboratory location part of ARH network, not a mobile phlebotomy service."
APPS Paramedical of Lexington,,0,1795 Alysheba Way UNIT 1003,,Lexington,Kentucky,US,http://www.appslive.com/,(859) 554-5006,Home health care service,https://www.google.com/maps/search/?api=1&query=APPS%20Paramedical%20of%20Lexington&query_place_id=ChIJk50IMT1PQogRsiOkpLKV0OM,Yes,No,"Lexington, Kentucky area",Paramedical services including mobile blood draws and specimen collection for insurance exams.
Mercy Health - Lourdes Lab Services,5,1,1532 Lone Oak Rd,,Paducah,Kentucky,US,https://www.mercy.com/locations/specialty-locations/lab-and-imaging-centers/mercy-health-lourdes-lab-services?utm_source=google&utm_medium=organic&utm_content=local_website_link,(270) 444-2148,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Mercy%20Health%20-%20Lourdes%20Lab%20Services&query_place_id=ChIJa14cqWUbeogRRDRdkqJxsjQ,No,No,"Paducah, Kentucky","Fixed medical laboratory location part of Mercy Health network, not a mobile phlebotomy service."
Owensboro Health Twin Lakes Medical Center Laboratory Services,4.8,23,910 Wallace Ave,,Leitchfield,Kentucky,US,https://www.owensborohealth.org/locations/ohmg-profile/owensboro-health-twin-lakes-medical-center-laboratory-services?utm_source=local-listing&utm_medium=organic&utm_campaign=website-link,(270) 259-9496,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Owensboro%20Health%20Twin%20Lakes%20Medical%20Center%20Laboratory%20Services&query_place_id=ChIJc1QFGX1Nb4gRNXjiLALxAlI,No,No,"Leitchfield, Kentucky","Fixed medical laboratory location part of Owensboro Health network, not a mobile phlebotomy service."
Mobile Phlebotomy Plus Lab Services,,0,,,Mayfield,Kentucky,US,,,,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20Plus%20Lab%20Services&query_place_id=ChIJm-Qa7dAxeogR3SkvT4QYoDk,Yes,No,"Mayfield, Kentucky area",Mobile phlebotomy service - company name clearly indicates mobile specialization.
Mercy Health - Paducah Lab Services,4.5,2,225 Medical Center Dr Suite 201A,,Paducah,Kentucky,US,https://www.mercy.com/locations/specialty-locations/lab-and-imaging-centers/mercy-health-paducah-lab-services?utm_source=google&utm_medium=organic&utm_content=local_website_link,(270) 444-4252,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Mercy%20Health%20-%20Paducah%20Lab%20Services&query_place_id=ChIJRx-vy-YbeogRZ-xgwveHzzg,No,No,"Paducah, Kentucky","Fixed medical laboratory location part of Mercy Health network, not a mobile phlebotomy service."
Medical Career & Technical College,4.6,67,630 University Shopping Center,,Richmond,Kentucky,US,https://medicalcareerandtechnicalcollege.edu/google/,(859) 624-1988,Medical school,https://www.google.com/maps/search/?api=1&query=Medical%20Career%20%26%20Technical%20College&query_place_id=ChIJGY_Y8wYCQ4gRpKE9qm542eY,No,No,"Richmond, Kentucky","Medical training school, not a mobile phlebotomy service."
Angels Phlebotomy Mobile Lab,5,4,2015 W Airline Hwy,,Laplace,Louisiana,US,http://angelsphlebotomy.com/,(504) 356-2207,Laboratory,https://www.google.com/maps/search/?api=1&query=Angels%20Phlebotomy%20Mobile%20Lab&query_place_id=ChIJI-UhIkTTIIYR_QUiuIKb4DM,Yes,No,"Laplace, Louisiana area",Mobile phlebotomy laboratory service - company name clearly indicates mobile specialization.
The Mobile Phlebotomist Health and Wellness Testing,5,1,1901 Manhattan Blvd Building D #3622,,Harvey,Louisiana,US,http://www.themobilephlebotomist.com/,(504) 901-1017,Home health care service,https://www.google.com/maps/search/?api=1&query=The%20Mobile%20Phlebotomist%20Health%20and%20Wellness%20Testing&query_place_id=ChIJqbLv5canIIYR6OOzYelYFjw,Yes,No,"Harvey, Louisiana area",Mobile phlebotomist service - company name clearly indicates mobile specialization.
One Stick That's It Lab,,0,2626 Charles Dr Suite C,,Chalmette,Louisiana,US,,(504) 516-3645,Laboratory,https://www.google.com/maps/search/?api=1&query=One%20Stick%20That's%20It%20Lab&query_place_id=ChIJGeNB9a4dnogR5ikRjxt1pBo,Unknown,Unknown,"Chalmette, Louisiana",Laboratory service but unclear if mobile services offered. Limited information available.
"Veintastic Skillz, LLC",,0,1 Galleria Blvd Suite 1900,,Metairie,Louisiana,US,http://www.veintasticskillz.com/,(504) 345-6009,Home health care service,https://www.google.com/maps/search/?api=1&query=Veintastic%20Skillz%2C%20LLC&query_place_id=ChIJX3d4fq2qSgYRXaawfSD1R5Y,Unknown,Unknown,"Metairie, Louisiana",Home health care service but unclear if mobile phlebotomy offered. Limited information available.
Accurate Affordable Mobile Lab,,0,205 Holiday Blvd,,Covington,Louisiana,US,https://www.accurateaffordablemobilelabs.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=18200922164796355534,(800) 376-1401,Local medical services,https://www.google.com/maps/search/?api=1&query=Accurate%20Affordable%20Mobile%20Lab&query_place_id=ChIJDRVAnXRdJ4YRpIXFgg7TiR0,Yes,No,"Covington, Louisiana area",Mobile laboratory service - company name clearly indicates mobile specialization.
Fleur De Lis Labs,4.7,22,1927 Corporate Square Dr,,Slidell,Louisiana,US,http://www.fleurdelislabs.com/,(985) 635-4585,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Fleur%20De%20Lis%20Labs&query_place_id=ChIJN_w2ZfjnnYgRfLdZiO0CkCk,No,No,"Slidell, Louisiana","Fixed medical laboratory location, not a mobile phlebotomy service."
JenCare Senior Medical Center,4.6,139,3530 Houma Blvd Suite 300,,Metairie,Louisiana,US,https://www.jencaremed.com/find-a-location/new-orleans-louisiana/metairie/?utm_source=google&utm_medium=organic&utm_campaign=chenmed_local_listing&utm_content=gbp_metairie&y_source=1_Mzk0OTU3NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(504) 264-5142,Medical clinic,https://www.google.com/maps/search/?api=1&query=JenCare%20Senior%20Medical%20Center&query_place_id=ChIJHcwMX1qwIIYR1lE-0Sp4tG8,No,No,"Metairie, Louisiana","Fixed medical clinic location, not a mobile phlebotomy service."
Allimac Mobile Phlebotomy Lab,,0,4657 Westbank Expy,,Marrero,Louisiana,US,https://allimacmobilelab.com/contact-us,(504) 516-5988,,https://www.google.com/maps/search/?api=1&query=Allimac%20Mobile%20Phlebotomy%20Lab&query_place_id=ChIJ__-P_G2kIIYRgZVWywRmQzU,Yes,No,"Marrero, Louisiana area",Mobile phlebotomy laboratory service - company name clearly indicates mobile specialization.
Impressive Healthcare Training & Laboratory Services,,0,10555 Lake Forest Blvd Ste 3g Bldg B,,New Orleans,Louisiana,US,,(888) 879-1492,Public educational institution,https://www.google.com/maps/search/?api=1&query=Impressive%20Healthcare%20Training%20%26%20Laboratory%20Services&query_place_id=ChIJy0tcO3sCnogR8eBYVQcPwAc,No,No,"New Orleans, Louisiana","Educational institution and laboratory training, not a mobile phlebotomy service."
Terrebonne General Outpatient Laboratory,5,2,"Medical Atrium Building, #103",,Houma,Louisiana,US,https://www.tghealthsystem.com/clinics/outpatient-laboratory/,(985) 873-4039,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Terrebonne%20General%20Outpatient%20Laboratory&query_place_id=ChIJEcDNeEYFIYYRO5TmbvoxZCE,No,No,"Houma, Louisiana","Fixed outpatient laboratory location, not a mobile phlebotomy service."
Phlebotomy Lab at North Dartmouth,5,1,"Children's at North, 500 Faunce Corner Road Boston, North",,Dartmouth,MA,US,https://www.childrenshospital.org/patient-resources/your-visit,(781) 216-2400,Blood testing service,https://www.google.com/maps/search/?api=1&query=Phlebotomy%20Lab%20at%20North%20Dartmouth&query_place_id=ChIJuZOTesPl5IkRpoo90oQ8HVY,No,No,"Dartmouth, Massachusetts","Fixed hospital laboratory location part of Children's Hospital network, not a mobile phlebotomy service."
